user_id,age,gender,country,profession,primary_platform,platforms_used_count,daily_usage_hours,sessions_per_day,avg_session_duration_min,preferred_device,peak_usage_time,followers_count,following_count,posts_per_week,likes_given_per_day,comments_per_day,shares_per_day,dms_sent_per_day,preferred_content_type,scroll_speed,ad_click_rate,purchased_via_social_media,monthly_spend_via_social_usd,primary_purpose,sleep_disruption,self_reported_mental_health_score,screen_time_concern,notification_frequency,privacy_setting,influencer_status,account_join_date,mood_while_scrolling,takes_social_media_breaks
USR00001,30,Female,UK,Doctor,Facebook,1,1.6,2,48.0,Smartphone,Late Night (12am+),353,99,1,17,1,3,8,Photos,Medium,0.089,Yes,67.72,Entertainment,No impact,3.9,No,Do Not Disturb,Friends Only,No,2022-10-21,Neutral,No
USR00002,25,Male,USA,Entrepreneur,Instagram,2,2.4,5,28.8,Smartphone,Afternoon (12-4pm),276,514,2,28,3,4,16,Memes,Medium,0.065,Yes,1.62,News & Updates,Moderate impact,4.2,No,Selected,Public,No,2024-12-03,Neutral,Yes
USR00003,32,Male,UAE,Freelancer,TikTok,5,0.5,6,5.0,Smartphone,Night (9pm-12am),203,422,3,26,4,2,7,Videos,Slow,0.278,No,0.0,Learning,Mild impact,4.8,Yes,Always On,Friends Only,No,2023-03-29,Happy,Yes
USR00004,39,Prefer not to say,Pakistan,Other,TikTok,4,3.0,7,25.7,Smartphone,Evening (6-9pm),29083,474,1,16,3,1,12,Entertainment,Fast,0.094,No,0.0,Entertainment,Mild impact,7.9,Somewhat,Always On,Public,Yes,2024-04-26,Happy,No
USR00005,25,Male,UK,Other,YouTube,3,3.9,7,33.4,Tablet,Evening (6-9pm),104,197,2,27,7,4,7,Photos,Fast,0.075,No,0.0,Entertainment,Mild impact,6.5,No,Do Not Disturb,Public,No,2023-09-08,Inspired,No
USR00006,25,Female,India,Other,Facebook,3,4.6,7,39.4,Smartphone,Afternoon (12-4pm),866,123,3,11,5,2,10,Videos,Fast,0.013,Sometimes,55.01,Business/Marketing,Mild impact,6.1,No,Selected,Friends Only,No,2023-07-18,Relaxed,Yes
USR00007,39,Female,India,Teacher,Snapchat,1,0.7,6,7.0,Laptop,Night (9pm-12am),1932,212,3,17,5,2,4,Memes,Medium,0.435,No,0.0,Business/Marketing,Moderate impact,6.9,Yes,Always On,Friends Only,No,2022-05-05,Happy,Yes
USR00008,33,Female,UAE,Freelancer,Instagram,2,1.5,5,18.0,Smartphone,Morning (6-10am),2067,446,4,20,7,2,10,Entertainment,Fast,0.205,No,0.0,Business/Marketing,Mild impact,9.7,No,Off,Public,No,2022-12-25,Bored,Yes
USR00009,23,Female,Brazil,Marketer,Twitter/X,2,4.4,5,52.8,Tablet,Late Night (12am+),598,17,6,21,6,1,7,Memes,Medium,0.086,No,0.0,Learning,No impact,3.1,Yes,Selected,Friends Only,No,2024-05-24,Happy,Occasionally
USR00010,31,Male,Brazil,Doctor,Instagram,1,2.3,8,17.2,Desktop,Afternoon (12-4pm),431,392,2,13,5,1,4,Educational,Medium,0.197,Sometimes,2.85,Learning,Moderate impact,5.6,Yes,Selected,Friends Only,No,2024-10-12,Stressed,No
USR00011,23,Female,USA,Freelancer,Instagram,3,3.9,7,33.4,Smartphone,Night (9pm-12am),1499,354,5,28,10,1,7,Reels/Shorts,Medium,0.153,No,0.0,News & Updates,No impact,1.0,Yes,Do Not Disturb,Public,No,2022-04-07,Happy,No
USR00012,23,Male,Pakistan,Student,Twitter/X,1,1.0,4,15.0,Laptop,Morning (6-10am),1074,263,2,25,5,5,9,Reels/Shorts,Fast,0.234,Sometimes,15.98,Entertainment,Severe impact,7.1,No,Selected,Friends Only,No,2023-12-07,Neutral,Occasionally
USR00013,28,Female,Australia,Other,Instagram,4,5.8,5,69.6,Smartphone,Night (9pm-12am),417,204,2,21,3,1,7,Stories,Medium,0.061,Yes,31.78,Entertainment,Mild impact,8.2,No,Always On,Friends Only,No,2024-02-20,Inspired,Occasionally
USR00014,13,Male,USA,Teacher,Instagram,3,0.9,8,6.8,Smart TV,Late Night (12am+),39,11,3,20,2,1,11,Entertainment,Medium,0.152,No,0.0,Learning,No impact,5.6,Yes,Do Not Disturb,Friends Only,No,2024-12-10,Relaxed,Yes
USR00015,13,Female,USA,Doctor,Facebook,2,2.9,5,34.8,Smartphone,Afternoon (12-4pm),286,144,4,22,1,3,7,Videos,Fast,0.13,No,0.0,Socializing,Mild impact,7.4,No,Always On,Private,No,2023-10-15,Neutral,Occasionally
USR00016,22,Female,India,Engineer,Twitter/X,5,3.0,2,90.0,Smartphone,Evening (6-9pm),84,2095,3,18,5,3,6,Memes,Fast,0.142,No,0.0,Learning,Mild impact,3.4,Yes,Off,Public,No,2024-05-02,Relaxed,No
